             ==============================================                
             ==  E-HEALTH  SHIELD V2.2 of COOKING HACKS  ==
             ==============================================

DIGITAL 0  | BLOOD PRESURE CONNECTOR  & GLUCOMETER CIRCUIT  & LCD CONNECTOR              ||  ARDUINO UNO UART
DIGITAL 1  | BLOOD PRESURE CONNECTOR  & GLUCOMETER CIRCUIT  & LCD CONNECTOR              ||  ARDUINO UNO UART
DIGITAL 2  | ACC CONNECTOR
DIGITAL 3  | ACC CONNECTOR
DIGITAL 4  | PUSH BUTTON
DIGITAL 5  | GLUCOMETER CIRCUIT
DIGITAL 6  | PULSEOXIMETER
DIGITAL 7  | PULSEOXIMETER
DIGITAL 8  | PULSEOXIMETER
DIGITAL 9  | PULSEOXIMETER
DIGITAL 10 | PULSEOXIMETER
DIGITAL 11 | PULSEOXIMETER
DIGITAL 12 | PULSEOXIMETER
DIGITAL 13 | PULSEOXIMETER


ANALOG 0  | ECG & EMG
ANALOG 1  | AIRFLOW ADAPTATION CIRCUIT 
ANALOG 2  | CONDUCTANCE ADAPTATION CIRCUIT
ANALOG 3  | TEMPERATURE
ANALOG 4  | PULSEOXIMETER
ANALOG 5  | PULSEOXIMETER
